Months_As_Customer,Age,Policy_Number,Policy_Bind_Date,Policy_State,Policy_Csl,Policy_Deductable,Income,Policy_Annual_Premium,Insured_Zip,Insured_Sex,Insured_Education_Level,Insured_Occupation,Insured_Hobbies,Insured_Relationship,Incident_Date,Incident_Type,Collision_Type,Incident_Severity,Incident_State,Incident_City,Bodily_Injuries,Witnesses,Total_Claim_Amount,Injury_Claim,Vehicle_Claim,Auto_Make,Auto_Model,CAR_USE,URBANICITY,Auto_Year
328,48,521585,17-10-2014,OH,250/500,1000,0,1406.91,466132,MALE,MD,craft-repair,sleeping,husband,25-01-2015,Single Vehicle Collision,Side Collision,Major Damage,SC,Columbus,1,2,71610,6510,52080,Saab,92x,Private,Rural,2004
228,42,342868,27-06-2006,IN,250/500,2000,2954,1197.22,468176,MALE,MD,machine-op-inspct,reading,other-relative,21-01-2015,Vehicle Theft,Others,Minor Damage,VA,Riverwood,0,0,5070,780,3510,Mercedes,E400,Private,Urban,2007
134,29,687698,06-09-2000,OH,100/300,2000,1123,1413.14,430632,FEMALE,PhD,sales,board-games,own-child,22-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,2,3,34650,7700,23100,Dodge,RAM,Private,Urban,2007
256,41,227811,25-05-1990,IL,250/500,2000,14484,1415.74,608117,FEMALE,PhD,armed-forces,board-games,unmarried,10-01-2015,Single Vehicle Collision,Front Collision,Major Damage,OH,Arlington,1,2,63400,6340,50720,Chevrolet,Tahoe,Private,Urban,2014
228,44,367455,06-06-2014,IL,500/1000,1000,0,1583.91,610706,MALE,Associate,sales,board-games,unmarried,17-02-2015,Vehicle Theft,Others,Minor Damage,NY,Arlington,0,1,6500,1300,4550,Accura,RSX,Private,Urban,2009
256,39,104594,12-10-2006,OH,250/500,1000,16227,1351.1,478456,FEMALE,PhD,tech-support,bungie-jumping,unmarried,02-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Arlington,0,2,64100,6410,51280,Saab,95,Private,Urban,2003
137,34,413978,04-06-2000,IN,250/500,1000,0,1333.35,441716,MALE,PhD,prof-specialty,board-games,husband,13-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,0,0,78650,21450,50050,Nissan,Pathfinder,Commercial,Urban,2012
165,37,429027,03-02-1990,IL,100/300,1000,11719,1137.03,603195,MALE,Associate,tech-support,base-jumping,unmarried,27-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,VA,Columbus,2,2,51590,9380,32830,Audi,A5,Private,Urban,2015
27,33,485665,05-02-1997,IL,100/300,500,50100,1442.99,601734,FEMALE,PhD,other-service,golf,own-child,30-01-2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Arlington,1,1,27700,2770,22160,Toyota,Camry,Commercial,Urban,2012
212,42,636550,25-07-2011,IL,100/300,500,0,1315.68,600983,MALE,PhD,priv-house-serv,camping,wife,05-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,NC,Hillsdale,2,1,42300,4700,32900,Saab,92x,Private,Urban,1996
235,42,543610,26-05-2002,OH,100/300,500,0,1253.12,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,06-01-2015,Single Vehicle Collision,Front Collision,Total Loss,NY,Northbend,2,2,87010,7910,63280,Ford,F150,Private,Urban,2002
